filename,url,link_text,downloaded,bytes
State_to_State_Migration_Table_2022_T13_updated_2024_06_27.xlsx,https://www2.census.gov/programs-surveys/demo/tables/geographic-mobility/2022/state-to-state-migration/State_to_State_Migration_Table_2022_T13_updated_2024_06_27.xlsx,State-to-State Migration Flows: 2022 [<1.0 MB],True,73478
State_to_State_Migration_Table_2023_T13.xlsx,https://www2.census.gov/programs-surveys/demo/tables/geographic-mobility/2023/state-to-state-migration/State_to_State_Migration_Table_2023_T13.xlsx,State-to-State Migration Flows: 2023 [<1.0 MB],True,142123
State_to_State_Migration_Table_2024_T13.xlsx,https://www2.census.gov/programs-surveys/demo/tables/geographic-mobility/2024/state-to-state-migration/State_to_State_Migration_Table_2024_T13.xlsx,State-to-State Migration Flows: 2024 [< 1.0 MB],True,190028
State_to_State_Migrations_Table_2014.xls,https://www2.census.gov/programs-surveys/demo/tables/geographic-mobility/2014/state-to-state-migration/State_to_State_Migrations_Table_2014.xls,State-to-State Migration Flows: 2014 [<1.0 MB],True,107520
State_to_State_Migrations_Table_2015.xls,https://www2.census.gov/programs-surveys/demo/tables/geographic-mobility/2015/state-to-state-migration/State_to_State_Migrations_Table_2015.xls,State-to-State Migration Flows: 2015 [<1.0 MB],True,109056
State_to_State_Migrations_Table_2016.xls,https://www2.census.gov/programs-surveys/demo/tables/geographic-mobility/2016/state-to-state-migration/State_to_State_Migrations_Table_2016.xls,State-to-State Migration Flows: 2016 [<1.0 MB],True,109568
State_to_State_Migrations_Table_2017.xls,https://www2.census.gov/programs-surveys/demo/tables/geographic-mobility/2017/state-to-state-migration/State_to_State_Migrations_Table_2017.xls,State-to-State Migration Flows: 2017 [<1.0 MB],True,110080
State_to_State_Migrations_Table_2018.xls,https://www2.census.gov/programs-surveys/demo/tables/geographic-mobility/2018/state-to-state-migration/State_to_State_Migrations_Table_2018.xls,State-to-State Migration Flows: 2018 [<1.0 MB],True,110080
State_to_State_Migrations_Table_2019.xls,https://www2.census.gov/programs-surveys/demo/tables/geographic-mobility/2019/state-to-state-migration/State_to_State_Migrations_Table_2019.xls,State-to-State Migration Flows: 2019 [<1.0 MB],True,103936
State_to_State_Migrations_Table_2021.xls,https://www2.census.gov/programs-surveys/demo/tables/geographic-mobility/2021/state-to-state-migration/State_to_State_Migrations_Table_2021.xls,State-to-State Migration Flows: 2021 [<1.0 MB],True,107520
state_migration_flows_tables.xls,https://www2.census.gov/programs-surveys/demo/tables/geographic-mobility/2005/state-to-state-migration/state_migration_flows_tables.xls,State-to-State Migration Flows: 2004-2005 [<1.0 MB],True,217600
state_to_state_migrations_table_2005.xls,https://www2.census.gov/programs-surveys/demo/tables/geographic-mobility/2005/state-to-state-migration/state_to_state_migrations_table_2005.xls,State-to-State Migration Flows: 2005 [<1.0 MB],True,77824
state_to_state_migrations_table_2005_2007.xls,https://www2.census.gov/programs-surveys/demo/tables/geographic-mobility/2007/state-to-state-migration/state_to_state_migrations_table_2005_2007.xls,State-to-State Migration Flows: 2005-2007 [<1.0 MB],True,78336
state_to_state_migrations_table_2005_2009.xls,https://www2.census.gov/programs-surveys/demo/tables/geographic-mobility/2009/state-to-state-migration/state_to_state_migrations_table_2005_2009.xls,State-to-State Migration Flows: 2005-2009 [<1.0 MB],True,131584
state_to_state_migrations_table_2006.xls,https://www2.census.gov/programs-surveys/demo/tables/geographic-mobility/2006/state-to-state-migration/state_to_state_migrations_table_2006.xls,State-to-State Migration Flows: 2006 [<1.0 MB],True,78336
state_to_state_migrations_table_2006_2008.xls,https://www2.census.gov/programs-surveys/demo/tables/geographic-mobility/2008/state-to-state-migration/state_to_state_migrations_table_2006_2008.xls,State-to-State Migration Flows: 2006-2008 [<1.0 MB],True,91648
state_to_state_migrations_table_2007.xls,https://www2.census.gov/programs-surveys/demo/tables/geographic-mobility/2007/state-to-state-migration/state_to_state_migrations_table_2007.xls,State-to-State Migration Flows: 2007 [<1.0 MB],True,78336
state_to_state_migrations_table_2007_2009.xls,https://www2.census.gov/programs-surveys/demo/tables/geographic-mobility/2009/state-to-state-migration/state_to_state_migrations_table_2007_2009.xls,State-to-State Migration Flows: 2007-2009 [<1.0 MB],True,131072
state_to_state_migrations_table_2008.xls,https://www2.census.gov/programs-surveys/demo/tables/geographic-mobility/2008/state-to-state-migration/state_to_state_migrations_table_2008.xls,State-to-State Migration Flows: 2008 [<1.0 MB],True,88576
state_to_state_migrations_table_2009.xls,https://www2.census.gov/programs-surveys/demo/tables/geographic-mobility/2009/state-to-state-migration/state_to_state_migrations_table_2009.xls,State-to-State Migration Flows: 2009 [<1.0 MB],True,128512
state_to_state_migrations_table_2010.xls,https://www2.census.gov/programs-surveys/demo/tables/geographic-mobility/2010/state-to-state-migration/state_to_state_migrations_table_2010.xls,State-to-State Migration Flows: 2010 [<1.0 MB],True,106496
state_to_state_migrations_table_2011.xls,https://www2.census.gov/programs-surveys/demo/tables/geographic-mobility/2011/state-to-state-migration/state_to_state_migrations_table_2011.xls,State-to-State Migration Flows: 2011 [<1.0 MB],True,106496
state_to_state_migrations_table_2012.xls,https://www2.census.gov/programs-surveys/demo/tables/geographic-mobility/2012/state-to-state-migration/state_to_state_migrations_table_2012.xls,State-to-State Migration Flows: 2012 [<1.0 MB],True,106496
state_to_state_migrations_table_2013.xls,https://www2.census.gov/programs-surveys/demo/tables/geographic-mobility/2013/state-to-state-migration/state_to_state_migrations_table_2013.xls,State-to-State Migration Flows: 2013 [<1.0 MB],True,106496
